Team_Name,season,team_id
New Mexico State,2017,5016fe1a-9571-4d10-bf5b-b9c1b496bd57
San Diego State,2017,e6914f16-ca37-4d2e-ba26-a425910283e2
Cincinnati,2017,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a
Bucknell,2017,98d2123a-c7b9-4b5f-8a81-43f76d8537dc
Lipscomb,2017,a2b8223d-40b3-4076-b5df-55655c2f8591
LIU Brooklyn,2017,82c12e8d-7c6c-47d8-b100-3cbc190d268e
Gonzaga,2017,2f4d21f8-6d5f-48a5-abca-52a30583871a
Buffalo,2017,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9
Virginia,2017,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
Charleston,2017,8548dacb-3636-48a8-8c46-611ab0c15fc0
North Carolina Central,2017,e4c315a0-e83f-4d14-856e-34a0463059e3
Iona,2017,255c2a87-40c0-4989-bbb9-d286aac5d28e
Montana,2017,e3848467-66c0-41e5-8283-02e3586d8601
Radford,2017,f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b
South Dakota State,2017,6ef40534-5fad-4755-84de-7dcbd645d1f0
Kansas,2017,fae4855b-1b64-4b40-a632-9ed345e1e952
Stephen F. Austin,2017,5ef64f01-86ae-4553-9834-c79cc0859eaf
Georgia State,2017,94ea835b-8ce9-4de2-a5b1-971548fea974
Pennsylvania,2017,e6c94452-1adf-4fb9-90e5-10f165c57c5a
Murray State,2017,77a69fb0-1355-4342-ac09-b4cc7949d95e
Wright State,2017,9c396fa7-c165-4599-8542-158bd0d9a199
Loyola (IL),2017,61a3908a-7492-4b6f-809e-12c61976bb0a
UMBC,2017,32755362-6336-4dd3-ac34-6f72a6cc150b
UNC Greensboro,2017,612f7f66-1de1-4d42-b842-9a508daab911
Marshall,2017,58d8baa3-7624-4b21-a47f-a23df2bf8859
Texas Southern,2017,eb157f98-0697-459c-9293-ddb162ceb28b
Cal State Fullerton,2017,c009914b-3303-4dee-b915-978aa48a31d0
Arizona,2017,9b166a3f-e64b-4825-bb6b-92c6f0418263
Davidson,2017,2920c5fa-1e86-4958-a7c4-1e97b8e201d8
Kentucky,2017,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
Villanova,2017,4383eb6a-7fd8-4ff2-94c5-43c933121e88
Michigan,2017,bdc2561d-f603-4fab-a262-f1d2af462277
Tennessee,2017,b827dbdf-230f-4916-9703-3bb9004e26eb
St. Bonaventure,2017,22d90601-19d4-461b-a901-924d12f116ed
Clemson,2017,dcf5c2e7-c227-4c20-af26-715d5f859412
Seton Hall,2017,aef5e386-d8e8-460c-8014-3a2f090fd988
Ohio State,2017,857462b3-0ab6-4d26-9669-10ca354e382b
Texas Tech,2017,f8c705b7-87d3-411a-9c8b-5124daab0469
Florida,2017,912f8837-1d81-4ef9-a576-a21f271d4c64
West Virginia,2017,f770d3a2-221c-49ce-9c7a-680f7417fe9e
Miami (FL),2017,7aec5187-cb1b-45e5-8f7d-406d766cdc73
Auburn,2017,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2
Purdue,2017,12d7f888-675b-459f-9099-a38f771d8a95
Arkansas,2017,c70c23c4-ab09-4797-a1af-792c848ab17f
Nebraska,2017,f8b1bf00-5b73-4ac4-98c0-ec554027ae32
Middle Tennessee,2017,3d2f0819-8f3b-4ff3-afd6-6227c469a751
USC,2017,3a000455-de7c-4ca8-880e-abdce7f21da9
Xavier,2017,0d8a328f-20ce-410b-bed1-15fc01308aaf
UCLA,2017,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f
Rhode Island,2017,7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4
Missouri,2017,77ca152a-cb2f-48a5-97b2-492351250d94
Boise State,2017,c1c54dbf-805c-47fc-a707-c803e94db2a4
Nevada,2017,62a73b4a-e281-4483-a1f8-f1160a18e456
Wichita State,2017,f38b58de-3273-4723-a78b-2f918e9aa2d5
Louisville,2017,b795ddbc-baab-4499-8803-52e8608520ab
Oregon,2017,1da70895-f77f-44ef-b216-d63c02e696eb
Western Kentucky,2017,881380da-861c-4ab6-a7d2-20699d8ea883
Utah,2017,0d037a5d-827a-44dd-8b70-57603d671d5d
Old Dominion,2017,ce967953-5c50-4220-87b2-99acb9606e84
South Dakota,2017,c946b7ac-5159-4817-93c4-fc9495c6425b
Rider,2017,0b73b9b9-1e29-4b14-b5d8-0405fe942e32
Providence,2017,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc
Utah Valley,2017,4200f37c-86e0-413e-a5c4-e5edf1e272e7
NC State,2017,52df1e19-b142-4a76-a439-ad68455d0581
Butler,2017,bdb7d7a4-45f8-4bf3-ab85-15488c451494
Kansas State,2017,d203f38a-a166-4258-bca2-e161b591ecfb
Vermont,2017,18e89867-9201-41ce-ba19-fadddf92fa17
Marquette,2017,06f7c904-0ac7-4125-b0f4-f4871bb69057
